Model,Covariance Type,Window Index,Mean Return,Forecasted Std
HRP,Historical,37,0.00011689278929919843,0.012257118361370004
ERC,Historical,37,-0.0004150903314184509,0.013541220917740758
MVP,GARCH,37,0.0007579384716201093,0.006793341644254233
HRP,GARCH,37,-0.0002535207273247665,0.009449277857646984
ERC,GARCH,37,-0.0005160986460880385,0.010078574109995292
MVP,DCC,37,0.0007565532471908888,0.006435356143321412
HRP,DCC,37,-0.000253973995412601,0.008874235547266431
ERC,DCC,37,-0.00051099294380313,0.009437574754704511
Naive,N/A,38,-0.0006188124085456158,0.015234227820564815
MVP,Historical,38,-0.0007663426600585925,0.008337509126466467
HRP,Historical,38,-0.0006535537866295861,0.012202037396398259
ERC,Historical,38,-0.0006140058543418606,0.013543254163265796
MVP,GARCH,38,-0.00022052107092755888,0.007356661027084467
HRP,GARCH,38,-0.0006856277709234549,0.010370032561688435
ERC,GARCH,38,-0.0006910105165627027,0.011079764160743627
MVP,DCC,38,-0.00026299229866036676,0.006967330574100201
HRP,DCC,38,-0.0006278368520641991,0.009727456304843726
ERC,DCC,38,-0.0006749325566892578,0.010357821207541595
Naive,N/A,39,-0.008702110071944503,0.015230220938810263
MVP,Historical,39,-0.0032383339642362728,0.00833509664166962
HRP,Historical,39,-0.006828767497857465,0.012261166463886346
ERC,Historical,39,-0.0075591949891156834,0.01354056680705206
MVP,GARCH,39,-0.004948404176348969,0.0069674379296446876
HRP,GARCH,39,-0.007231043150549977,0.009685756008640434
ERC,GARCH,39,-0.00771732075129003,0.01020109453222594
MVP,DCC,39,-0.004476232483190146,0.006548318316094122
HRP,DCC,39,-0.007098120338002276,0.00900295965310899
ERC,DCC,39,-0.007650083074738799,0.009541687146632949
Naive,N/A,40,0.003678652818367591,0.015234572398878422
MVP,Historical,40,0.005482779914097622,0.008341488722093306
HRP,Historical,40,0.0040185029651526654,0.012221970788529164
ERC,Historical,40,0.0039061364176219146,0.013550749117519318
MVP,GARCH,40,0.004892177038435219,0.0070778123756025995
HRP,GARCH,40,0.003922754948165162,0.010731967972942619
ERC,GARCH,40,0.003772837791584481,0.011685888567525431
