Model,Covariance Type,#Rolling Windows,Mean Return,Forecasted Std
MVP,Historical,30,-0.009969645747910106,0.0038838223396094346
ERC,GARCH,30,-0.013725048543190468,0.0071093516794234896
ERC,Historical,30,-0.014372575352796261,0.0064329840435447825
Naive,N/A,30,-0.014980112990758385,0.007256408652061035
HRP,GARCH,31,0.008689938210187431,0.006411915221256617
HRP,Historical,31,0.009096884590005783,0.005978140416228897
MVP,GARCH,31,0.005637823223740811,0.0038387396335901273
MVP,Historical,31,0.006545880583620807,0.003950758008232934
ERC,GARCH,31,0.011011746812481026,0.007309694182705315
ERC,Historical,31,0.01111817258452016,0.006503916167809275
Naive,N/A,31,0.011831928568575583,0.007323390025745741
HRP,GARCH,32,-0.009151643390940196,0.006183590101647
HRP,Historical,32,-0.00952636574422169,0.005997210471661514
MVP,GARCH,32,-0.006376708078345676,0.0037930133860411756
MVP,Historical,32,-0.006821240143769395,0.0039151009127130825
ERC,GARCH,32,-0.009867564144399946,0.007057291187973815
ERC,Historical,32,-0.009828431862673199,0.0065284026398960415
Naive,N/A,32,-0.010451679016221642,0.0073464789842894755
HRP,GARCH,33,0.007482269979477091,0.006336905682658695
HRP,Historical,33,0.008510404379837189,0.006002271599349065
MVP,GARCH,33,0.00556667023818851,0.003856414984624745
MVP,Historical,33,0.0033695735394495526,0.003906176997524856
ERC,GARCH,33,0.0071685250764698455,0.007112842129190231
ERC,Historical,33,0.00758714487284424,0.006513616545444255
Naive,N/A,33,0.007381669268940324,0.007321971654036278
HRP,GARCH,34,0.00827882748124855,0.006324606882438634
HRP,Historical,34,0.007247273610599915,0.006019481716092234
MVP,GARCH,34,0.007293687117318806,0.0038952256681952842
MVP,Historical,34,0.006232379284662406,0.0038882626873074136
ERC,GARCH,34,0.008704647561689208,0.007165816542649719
ERC,Historical,34,0.008360800778874636,0.006524015260638485
Naive,N/A,34,0.009104486538512951,0.0073333920248891725
HRP,GARCH,35,-0.020909455721167564,0.0062024205191808564
HRP,Historical,35,-0.02264843956853765,0.006021574930251125
MVP,GARCH,35,-0.00942639330684917,0.0038347669833175054
MVP,Historical,35,-0.010731455992086473,0.0038956688391637707
ERC,GARCH,35,-0.024841491019739897,0.007062916248140952
ERC,Historical,35,-0.02553643983181527,0.0065270236486153635
Naive,N/A,35,-0.02803217244319174,0.007326718321973216
HRP,GARCH,36,0.021296224596089083,0.006722404802902232
HRP,Historical,36,0.022870600872040577,0.006141596317904388
MVP,GARCH,36,0.023187785220097165,0.004006028350171206
MVP,Historical,36,0.02147137459606968,0.0039014244197381484
ERC,GARCH,36,0.02091490921719518,0.007939549608335142
ERC,Historical,36,0.02212632060380479,0.006705254221425041
Naive,N/A,36,0.021788743983050335,0.007532728244134255
HRP,GARCH,37,0.0032776185824742246,0.0074334999174531435
HRP,Historical,37,0.0041748505384275325,0.006313031578438629
MVP,GARCH,37,-0.0008475223554637529,0.004477790696685612
MVP,Historical,37,-0.0013866278475957203,0.004091183165281314
ERC,GARCH,37,0.005767777456278484,0.008527289181446835
ERC,Historical,37,0.006337000387153492,0.006862959259816974
Naive,N/A,37,0.008031972149412803,0.007641779829967681
HRP,GARCH,38,0.010967593062999692,0.007096046722013467
HRP,Historical,38,0.009880738713642385,0.00631527567769313
MVP,GARCH,38,0.0024981182415875595,0.004283005348477113
MVP,Historical,38,0.0005601859938708653,0.004086467454264398
ERC,GARCH,38,0.01339436884498366,0.008245397279870535
ERC,Historical,38,0.012530907822345066,0.006866907557434351
Naive,N/A,38,0.01524513714858684,0.007653361659986538
HRP,GARCH,39,-0.023865421761947593,0.007198998301647613
HRP,Historical,39,-0.02430728932778537,0.006348379499211394
MVP,GARCH,39,-0.018972792655254873,0.004314208851475041
MVP,Historical,39,-0.01769328186172079,0.0040915634956896684
ERC,GARCH,39,-0.024538810024335847,0.008455936386762595
ERC,Historical,39,-0.024669618920253933,0.006880782604473073
Naive,N/A,39,-0.02513593943770442,0.007697117087632037
HRP,GARCH,40,-0.0002784217268461057,0.007758685823168189
HRP,Historical,40,0.0020341346491515337,0.006515021969024745
MVP,GARCH,40,-0.005208979622673625,0.004502199606397304
MVP,Historical,40,-0.00039288080595012236,0.004196569219654023
ERC,GARCH,40,0.0014097996460072063,0.009255436259391547
ERC,Historical,40,0.0026240463447801863,0.007075101218813252
Naive,N/A,40,0.002091818451365488,0.007858433831734762
HRP,GARCH,41,0.00044549114334904797,0.00771506242547831
HRP,Historical,41,0.0008375946498205597,0.006518791030858556
MVP,GARCH,41,0.00042169073115931404,0.004596758118840703
MVP,Historical,41,0.0019099250066533496,0.004197058884708965
ERC,GARCH,41,-9.66857444212408e-05,0.009251119445615453
ERC,Historical,41,-8.103580215640806e-06,0.007071061617432895
Naive,N/A,41,-0.0002702590717060475,0.007845322483865609
HRP,GARCH,42,-0.01592789810004297,0.007653068109228298
HRP,Historical,42,-0.016527076825710363,0.006517616760317683
MVP,GARCH,42,-0.008727029603898057,0.004669820603409684
MVP,Historical,42,-0.007247025159619105,0.004189471533089819
ERC,GARCH,42,-0.018197767094469113,0.008938428055022572
ERC,Historical,42,-0.018502969973602013,0.007058954788486285
Naive,N/A,42,-0.02069080604459208,0.0078373546630184
HRP,GARCH,43,-0.01403270674300025,0.0076419494092529235
HRP,Historical,43,-0.013778006988920333,0.006574316569072935
MVP,GARCH,43,-0.006932506055845684,0.004505342752238801
MVP,Historical,43,-0.007495750949809976,0.004208700716670124
ERC,GARCH,43,-0.01569102666782586,0.009055790128456028
ERC,Historical,43,-0.015209670092358643,0.007139862161587138
Naive,N/A,43,-0.016871008681121163,0.007938721703784617
HRP,GARCH,44,-0.0006634103682451114,0.0075038989670024175
HRP,Historical,44,0.0011065255422962126,0.006603507454567492
MVP,GARCH,44,-0.0027228766225358904,0.004288791363089775
MVP,Historical,44,-0.002024536221115739,0.004221376211523072
ERC,GARCH,44,-0.0012119562880619425,0.009008164407644213
ERC,Historical,44,0.0005035879858008431,0.007205229464619055
Naive,N/A,44,0.0018512888810566328,0.008014587453301025
HRP,GARCH,45,0.018678086333376004,0.0075409929816678805
HRP,Historical,45,0.020061103268296236,0.006616091273719225
MVP,GARCH,45,0.012823582708882564,0.0045923076356446995
MVP,Historical,45,0.008319234796258873,0.004199797952597686
ERC,GARCH,45,0.020450342167032107,0.008925091238309528
ERC,Historical,45,0.020929465874886657,0.007145293142706509
Naive,N/A,45,0.023097313761285564,0.007935373052602564
HRP,GARCH,46,0.0037604059698471536,0.00792291434422018
HRP,Historical,46,0.0024727451044194828,0.006706212613711871
MVP,GARCH,46,0.004617448960971753,0.0045599099697264224
MVP,Historical,46,0.0037831295311957025,0.004222674516184359
