Model,Covariance Type,#Rolling Windows,Sharpe Ratio,Mean Return,Std Dev
ERC,Historical,49,0.2074682341377092,0.0016082718626106592,0.007751894497463896
Naive,N/A,49,0.24192897436791533,0.0017839454478608312,0.007373839584620743
HRP,GARCH,50,0.2313510501465199,0.0012240211994181203,0.005290752726831885
HRP,Historical,50,0.2060298420119431,0.0010726983611593834,0.005206519359934283
MVP,GARCH,50,0.0759477390197829,0.000414164040843966,0.005453276768859233
MVP,Historical,50,-0.22613264573876682,-0.0018077696960478212,0.007994288883597085
ERC,GARCH,50,0.22197385760670146,0.0012830560374593976,0.005780212369569874
ERC,Historical,50,0.21657363926846956,0.0012710573966373746,0.005868938624897665
Naive,N/A,50,0.23490153610306164,0.0016604164408222104,0.007068563570796373
HRP,GARCH,51,0.44421321188942403,0.0029650003731689976,0.0066747235197206645
HRP,Historical,51,0.4255705725941154,0.003121633474383959,0.007335172296701992
MVP,GARCH,51,0.31086986177827575,0.003698785925123783,0.011898181135879612
MVP,Historical,51,0.3244933476207296,0.00566059600937021,0.01744441311624779
ERC,GARCH,51,0.4384254065621137,0.003137490861571755,0.00715627063261274
ERC,Historical,51,0.4395625881716987,0.0032211363356118997,0.007328049343347854
Naive,N/A,51,0.46338912621540396,0.003439982028305954,0.0074235277301412045
HRP,GARCH,52,0.022804779634994804,0.0003004928273529416,0.013176747688972356
HRP,Historical,52,0.02025222555840121,0.00026402050566926537,0.013036616884791807
