Model,Covariance Type,#Rolling Windows,Sharpe Ratio,Mean Return,Std Dev,Δ Return vs ERC OOS,Δ Std vs ERC OOS,Δ Return vs MVP OOS,Δ Std vs MVP OOS
Naive,N/A,13,0.10509696860788206,0.001793747270995165,0.017067545284656645,-0.001157001548416732,-0.00020563294411722957,-0.0071829232695368546,0.01706690594015517
Real ERC,OOS,13,0.17082836640315,0.002950748819411897,0.017273178228773875,0.0,0.0,-0.006025921721120122,0.0172725388842724
Real MVP,OOS,13,14040.42815694768,0.00897667054053202,6.393445014773326e-07,0.006025921721120122,-0.0172725388842724,0.0,0.0
HRP,GARCH,14,-0.3109262060122382,-0.0020017550482014424,0.006438039024998274,0.0027015150372154957,-0.006963454519050982,-0.0023460588972056356,0.006436942618072206
HRP,Historical,14,-0.33362885002176473,-0.0023794102943379535,0.007131908089431503,0.0023238597910789846,-0.0062695854546177526,-0.0027237141433421467,0.007130811682505435
MVP,GARCH,14,-0.021870776148375133,-8.155574222275434e-05,0.0037289825321911788,0.004621714343194184,-0.009672511011858077,-0.0004258595912269474,0.00372788612526511
MVP,Historical,14,-0.06995946970288242,-0.00022143879483721077,0.0031652440445540885,0.004481831290579727,-0.010236249499495167,-0.0005657426438414037,0.00316414763762802
ERC,GARCH,14,-0.3212522577615273,-0.002350391561855336,0.007316342547233034,0.002352878523561602,-0.006085150996816222,-0.002694695410859529,0.007315246140306966
ERC,Historical,14,-0.3367726129538598,-0.002658424181680156,0.007893825327311811,0.002044845903736782,-0.005507668216737444,-0.0030027280306843492,0.007892728920385743
Naive,N/A,14,-0.35302518832937985,-0.003202374416640871,0.009071234921778411,0.001500895668776067,-0.004330258622270844,-0.0035466782656450643,0.009070138514852343
Real ERC,OOS,14,-0.3509511883849214,-0.004703270085416938,0.013401493544049256,0.0,0.0,-0.005047573934421131,0.013400397137123187
Real MVP,OOS,14,314.02925393657307,0.000344303849004193,1.0964069260685336e-06,0.005047573934421131,-0.013400397137123187,0.0,0.0
HRP,GARCH,15,-0.035030463032239036,-0.000333510078603553,0.009520572945228241,-0.000891176367012713,-0.0013020395844975854,-0.00048686187191535394,0.009519637945948954
HRP,Historical,15,-0.024051957286592332,-0.0002459690441647972,0.010226570803944995,-0.0008036353325739572,-0.0005960417257808315,-0.00039932083747659815,0.010225635804665708
MVP,GARCH,15,-0.36263184141962096,-0.0020999992974597456,0.005790995322525257,-0.0026576655858689055,-0.00503161720720057,-0.0022533510907715463,0.00579006032324597
MVP,Historical,15,-0.3387582005951283,-0.002273022097200212,0.0067098658961081414,-0.0028306883856093717,-0.004112746633617685,-0.0024263738905120126,0.006708930896828854
ERC,GARCH,15,0.029052308212769926,0.0003148786901459507,0.010838336418568833,-0.00024278759826320932,1.5723888843006614e-05,0.00016152689683414978,0.010837401419289546
ERC,Historical,15,0.03166491129603639,0.00035654341240178917,0.011259889821526802,-0.00020112287600737084,0.00043727729180097555,0.00020319161908998826,0.011258954822247515
Naive,N/A,15,0.04852588601994565,0.0005982198688178966,0.012327850512034126,4.055358040873662e-05,0.0015052379823083002,0.0004448680755060957,0.01232691551275484
Real ERC,OOS,15,0.051527880803036344,0.00055766628840916,0.010822612529725826,0.0,0.0,0.00040431449509735907,0.01082167753044654
