Model,Covariance Type,#Rolling Windows,Sharpe Ratio,Mean Return,Std Dev,Δ Return vs ERC OOS,Δ Std vs ERC OOS,Δ Return vs MVP OOS,Δ Std vs MVP OOS
HRP,GARCH,2,-0.22633804869244545,-0.001889197793614627,0.008346797211200324,0.0016444441038049845,-0.00032282522194156636,-0.001892374919745741,0.00834591447738313
HRP,Historical,2,-0.24510347179443498,-0.002134880210956979,0.008710118201620067,0.0013987616864626325,4.0495768478176694e-05,-0.0021380573370880927,0.008709235467802874
MVP,GARCH,2,0.32037705749081147,0.0018011049948381762,0.005621828881707088,0.005334746892257788,-0.0030477935514348024,0.0017979278687070622,0.005620946147889896
MVP,Historical,2,0.4195405342137554,0.002088480461241253,0.004978018310328924,0.005622122358660864,-0.0036916041228129666,0.002085303335110139,0.004977135576511731
ERC,GARCH,2,-0.31336082925706066,-0.0029218887908786977,0.009324358752196726,0.0006117531065409137,0.0006547363190548359,-0.0029250659170098115,0.009323476018379533
ERC,Historical,2,-0.3164194183790361,-0.003024666594933118,0.009559042268733001,0.0005089753024864934,0.0008894198355911109,-0.003027843721064232,0.009558159534915808
Naive,N/A,2,-0.35711190240214347,-0.0037209690356519373,0.0104196164020928,-0.0001873271382323259,0.0017499939689509091,-0.003724146161783051,0.010418733668275606
Real ERC,OOS,2,-0.40758890305434115,-0.0035336418974196114,0.00866962243314189,0.0,0.0,-0.0035368190235507252,0.008668739699324697
Real MVP,OOS,2,3.599189324385117,3.177126131113964e-06,8.827338171927763e-07,0.0035368190235507252,-0.008668739699324697,0.0,0.0
HRP,GARCH,3,-0.032974360180392986,-0.00021598774515603736,0.006550172436233249,0.0005135100334867596,-0.002351895785878586,0.002006402536690567,0.006549281875742539
HRP,Historical,3,-0.01132991448136068,-7.521030674406603e-05,0.006638206040107158,0.0006542874718987308,-0.002263862182004677,0.0021471799751025386,0.006637315479616448
MVP,GARCH,3,-0.06512370341451464,-0.0005662222779785526,0.008694565085995311,0.00016327550066424427,-0.0002075031361165238,0.001656168003868052,0.0086936745255046
MVP,Historical,3,0.002939909769300653,2.442684617376201e-05,0.008308706079633417,0.000753924624816559,-0.000593362142478418,0.0022468171280203664,0.008307815519142706
ERC,GARCH,3,-0.007346781138071891,-4.832975777411003e-05,0.006578358176978963,0.0006811680208686869,-0.002323710045132872,0.0021740605240724944,0.006577467616488253
ERC,Historical,3,-0.0005083862418683375,-3.387018370958495e-06,0.0066622935320025225,0.0007261107602718384,-0.0022397746901093125,0.002219003263475646,0.006661402971511812
Naive,N/A,3,0.009153154935654067,6.3576830196789e-05,0.006945892497584597,0.0007930746088395859,-0.001956175724527238,0.0022859671120433935,0.006945001937093887
Real ERC,OOS,3,-0.08194699933109907,-0.0007294977786427969,0.008902068222111835,0.0,0.0,0.0014928925032038076,0.008901177661621124
Real MVP,OOS,3,-2495.4961566663737,-0.0022223902818466045,8.905604907103525e-07,-0.0014928925032038076,-0.008901177661621124,0.0,0.0
HRP,GARCH,4,-0.1526094157689343,-0.0023822716238152955,0.015610253219383852,0.00020824823631744246,-0.0012128587376316197,-0.002343328354131121,0.015609223451143885
HRP,Historical,4,-0.16143177378804166,-0.002527616269216431,0.01565748929039934,6.290359091630678e-05,-0.001165622666616132,-0.002488672999532257,0.015656459522159372
MVP,GARCH,4,-0.05860441539150406,-0.000707993763115411,0.012080894560344843,0.001882526097017327,-0.004742217396670629,-0.0006690504934312369,0.012079864792104876
MVP,Historical,4,-0.12816725049824174,-0.0015497585525851916,0.012091689152732914,0.0010407613075475463,-0.004731422804282558,-0.0015108152829010175,0.012090659384492946
ERC,GARCH,4,-0.15104811861102227,-0.002521852712055547,0.016695690984075074,6.866714807719082e-05,-0.000127420972940398,-0.0024829094423713728,0.016694661215835106
ERC,Historical,4,-0.1542910889951349,-0.0025831703612084686,0.016742187627504016,7.349498924269331e-06,-8.09243295114559e-05,-0.0025442270915242943,0.01674115785926405
Naive,N/A,4,-0.1556907170807659,-0.002757421841619939,0.01771089435081414,-0.0001669019814872011,0.0008877823937986674,-0.0027184785719357647,0.01770986458257417
Real ERC,OOS,4,-0.153985770691638,-0.002590519860132738,0.016823111957015472,0.0,0.0,-0.0025515765904485636,0.016822082188775504
Real MVP,OOS,4,-37.81750900125305,-3.8943269684174145e-05,1.0297682399674657e-06,0.0025515765904485636,-0.016822082188775504,0.0,0.0
HRP,GARCH,5,-0.08323589522196478,-0.0009612962258996862,0.011549058532213798,-0.002199119312898958,0.00366802259581029,-0.0015615853543229745,0.01154856426439819
HRP,Historical,5,-0.10462429496294127,-0.0011630215014704392,0.011116170502103648,-0.002400844588469711,0.00323513456570014,-0.0017633106298937274,0.01111567623428804
MVP,GARCH,5,-0.022601973265113557,-0.00016586611997118482,0.007338568098706733,-0.0014036892069704567,-0.0005424678376967753,-0.0007661552483944731,0.007338073830891124
MVP,Historical,5,-0.2666314417187487,-0.002241147525286353,0.008405413520774441,-0.0034789706122856246,0.0005243775843709331,-0.0028414366537096412,0.008404919252958833
ERC,GARCH,5,-0.07546635506455895,-0.0009444842312505482,0.012515302089819675,-0.0021823073182498202,0.004634266153416167,-0.0015447733596738364,0.012514807822004067
ERC,Historical,5,-0.08166439175092868,-0.0010081194946374033,0.012344664216836453,-0.0022459425816366754,0.004463628280432945,-0.0016084086230606916,0.012344169949020845
