Model,Covariance Type,#Rolling Windows,Mean Return,Forecasted Std
Naive,N/A,63,0.0005024053547085447,0.007668997292318429
HRP,GARCH,64,0.01754764038098877,0.009149297874290224
HRP,Historical,64,0.018768844519695793,0.006975967671592066
MVP,GARCH,64,0.011725018139397482,0.006877676687665198
MVP,Historical,64,0.01467452388523046,0.005797379532979329
ERC,GARCH,64,0.019859815165747412,0.010360248932677497
ERC,Historical,64,0.020221051345415148,0.007348002834491328
Naive,N/A,64,0.021358090043985034,0.007665716186211227
HRP,GARCH,65,0.0029182784384145554,0.008983733238374056
HRP,Historical,65,0.0030158830895204852,0.0071113444786852775
MVP,GARCH,65,0.0009534248696448019,0.006511292845629191
MVP,Historical,65,-0.0012456550763931503,0.005867915102263319
ERC,GARCH,65,0.003933720548648041,0.01023694542119547
ERC,Historical,65,0.003831850259638815,0.007451148678561456
Naive,N/A,65,0.004507623625942848,0.007778756924662184
HRP,GARCH,66,0.002121766563733088,0.009722779641716207
HRP,Historical,66,0.0028065246206725697,0.007110767318194958
MVP,GARCH,66,0.0010901466379540507,0.007671437240588021
MVP,Historical,66,0.000531672768714307,0.005866975539611182
ERC,GARCH,66,0.0024748493547391286,0.010727143757601646
ERC,Historical,66,0.0029369845908335974,0.007453073680368239
Naive,N/A,66,0.003319154783513349,0.007782271613801458
HRP,GARCH,67,0.012025714543253524,0.008866000533297402
HRP,Historical,67,0.012262000699360415,0.0071054067707356
MVP,GARCH,67,0.009425410098363993,0.0066058654596878865
